id_cliente,tipo_cliente,nome_razao_social,cpf_cnpj,email,telefone,cidade,estado,cep,data_nascimento_fundacao,genero,profissao_segmento,renda_mensal_faturamento,data_cadastro
CLI0045,PF,  Alessandra Nunes  ,99125134125,alessandranu419@outlook.com,(81) 99006-3740,Teresina,PI,80465-395,1990-06-18,M,Médico,14787,16.02.2025
CLI0197,PF,Leticia Xavier,433.187.510-97,leticiaxavie661@outlook.com,62938092671,Palmas,TO,90599-250,03-05-1968,Masculino,Arquiteto,R$ 13686,01/05/2025
CLI0270,PF,Thiago Leal,,thiagoleal268@hotmail.com,31948545157,Belém,,47876-613,26/04/1952,,Contador,9546,06-22-2020
CLI0231,PF,Otavio Esteves,06420768362,otavioesteve384@yahoo.com.br,,Vitória,,38465-445,1967-02-18,F,Arquiteto,42558,03.10.2021
CLI0028,PF,Carlos Souza,775.841.616-92,carlossouza976@gmail.com,+55 62 92101-4866,Florianópolis,SC,84349-133,08.01.1989,Feminino,,43780,01-16-2025
CLI0443,PF,Fernanda Martins,  342.939.077-37  ,fernandamart143@outlook.com,(41) 94666-9052,Recife,PE,41326-772,06-09-1950,M,Enfermeiro,R$ 38852,04-29-2020
CLI0124,PJ,Serviços Leste ME,,servicoslest305@yahoo.com.br,(81) 98371-5342,São Luís,MA,89174-365,04/03/2008,,Saúde,R$ 1628472,11.03.2021
CLI0104,PF,Viviane Hardt,  632.909.279-14  ,vivianehardt292@hotmail.com,61924015162,Rio de Janeiro,MG.,73577-627,19.05.1967,F,Jornalista,R$ 33091,21.08.2022
CLI0252,PJ,Indústria Sul SA,22398983065031,indústriasul880@outlook.com,31951822022,Fortaleza,CE,91388-153,1998-10-07,,,764842,12-21-2021
CLI0186,PF,Cristina Pinto,  458.438.458-81  ,,71961350116,Porto Alegre,RS,34173-775,03/02/1971,,Vendedor,R$ 3395,08-02-2020
CLI0122,PF,Natalia Teixeira,  427.617.075-87  ,nataliateixe697@gmail.com,(62)971771451,Belém,PA,45300-708,2001-03-17,M,Professor,46361,11/09/2023
CLI0325,PF,henrique oliveira,899.204.573-53,henriqueoliv160@outlook.com,+55 85 99077-8122,São Paulo,SP,72714-305,02/11/1960,f,Jornalista,,2022-12-11
CLI0071,PJ,Rho Sistemas Ltda,29142834110809,rhosistemasl375@outlook.com,(62)922153955,Cuiabá,MT,11388-778,09.09.2011,,Construção Civil,4658951,2021-11-10
CLI0493,PF,Cristina Pinto,251.071.555-87,cristinapint354@gmail.com,(41)954718872,Florianópolis,SC,51164-466,1970-11-12,F,Vendedor,6939,11.05.2021
CLI0464,PJ,Grupo Alfa SA,04.747.338/9147-85,grupoalfasa953@hotmail.com,(41)921017493,Belém,PA,,2005-12-09,,Indústria,122336,14/04/2022
CLI0154,PF,Pedro Alves,62831435989,pedroalves108@gmail.com,+55 51 96716-5620,Recife,PE,16286-274,03.12.1979,F,Economista,2646,2024-05-14
CLI0434,PF,Nelson Inocêncio,502.528.546-13,nelsoninocên204@gmail.com,11921132580,Teresina,PI,46524-244,27.05.1960,f,Administrador,10406,03.04.2023
CLI0160,PF,Vanessa Freitas,,vanessafreit277@gmail.com,+55 41 91022-6692,Porto Alegre,RS,81994-370,07-15-1999,Masculino,Empresário,4561,07-30-2024
CLI0066,PF,Elisa Lacerda,  978.292.216-99  ,elisalacerda982@hotmail.com,+55 61 98870-7839,Porto Velho,RO,23955,08-31-1999,Feminino,Técnico,46997,13.04.2020
CLI0159,PJ,Logística Global Ltda,89534396112910,logísticaglo207@uol.com.br,(11)959125302,Natal,RN,25391-546,1992-09-23,,,4685037,12/09/2024
CLI0100,PF,  Tatiana Borges  ,767.478.366-74,tatianaborge185@yahoo.com.br,(11)923946199,Goiânia,GO,47132-357,05-30-2002,F,Arquiteto,R$ 46032,07/04/2020
CLI0490,PF,Alexandre Cunha,80424796000,alexandrecun275@gmail.com,61942444023,Belo Horizonte,MG,61904-418,24.06.1973,M,Professor,41295,25.11.2022
CLI0175,PJ,Rho Sistemas Ltda,41.459.642/2971-25,rhosistemasl288@yahoo.com.br,81945408251,Natal,RN,36986-811,2005-04-09,,Agronegócio,1126541,18/07/2025
CLI0448,PJ,Kappa Ventures SA,38272105133460,kappaventure178@gmail.com,(41)939831718,Guarulhos,SP,41137-650,27/09/2003,,,2071502,18.12.2020
CLI0015,PF,juliana costa,  603.859.770-34  ,julianacosta250@outlook.com,+55 71 92143-5526,Natal,RN,76550-373,16.07.1960,F,Designer,35349,03-04-2023
CLI0148,PF,Felipe Cardoso,  011.686.462-25  ,@invalido,+55 11 99557-1118,João Pessoa,PB,72027-875,1959-10-19,m,Administrador,10171,10-25-2024
CLI0096,PF,Roberto Kramer,99281615814,robertokrame499@gmail.com,(81) 96330-2599,Porto Velho,RO,99850-933,1989-01-21,m,Arquiteto,45424,04-01-2024
CLI0494,PF,Henrique Oliveira,  306.162.185-63  ,@invalido,(71) 92573-1820,Teresina,SP ,37148-139,28.04.1991,m,Enfermeiro,,19/05/2024
CLI0322,PJ,Epsilon Serviços Ltda,09.594.815/2692-55,epsilonservi377@uol.com.br,+55 51 95684-1862,Porto Alegre,RS,86483-300,03.07.1992,,Saúde,,06.10.2021
CLI0001,PF,Sandro Guerreiro,433.218.196-00,sandroguerre748@outlook.com,(71) 92291-5803,Porto Alegre,RS,47930-181,13/12/1963,m,Engenheiro,8338,17.02.2021
CLI0010,PJ,Transportes Rápidos Ltda,20.465.375/5646-41,transportesr973@hotmail.com,11926941092,,S.P,43586-885,02.11.2006,,Construção Civil,R$ 3035680,2021-04-14
CLI0212,PJ,gamma tecnologia me,13348458714939,gammatecnolo670@uol.com.br,+55 51 95974-7075,Teresina,PI,56390-949,2008-05-03,,Agronegócio,R$ 1424923,01-16-2025
CLI0384,PF,João Silva,728.895.927-41,joaosilva271@yahoo.com.br,(61)980051006,Macapá,AP,48697,1971-07-17,M,Enfermeiro,13483,08-07-2021
CLI0162,PF,PATRICIA ROCHA,851.327.972-45,patriciaroch113@hotmail.com,(51) 96854-2249,Salvador,BA,89233-254,27.04.1988,,Administrador,46853,12-12-2025
CLI0279,PF,JORGE OLIVEIRA,507.628.397-62,jorgeoliveir945@outlook.com,,Cuiabá,MT,35594-303,06.12.1986,m,,8033,08/08/2022
CLI0205,PJ,Omicron Distribuidora ME,46.602.416/1394-49,omicrondistr191@yahoo.com.br,,Florianópolis,SC,,2004-07-24,,Tecnologia,1905306,29.12.2022
CLI0019,PF,Carlos Souza,  461.200.471-13  ,carlossouza972@outlook.com,,Manaus,AM,82641-312,03-08-1971,F,Enfermeiro,44259,08-12-2022
CLI0358,PF,ALEXANDRE CUNHA,889.911.416-00,alexandrecun836@uol.com.br,(41) 95080-8119,São Paulo,SP,78601-187,17/05/1957,Feminino,Empresário,R$ 18909,02-21-2024
CLI0411,PF,Cristina Pinto,51344486722,cristinapint219@gmail.com,(11)942730364,João Pessoa,PB,67074-535,06/10/1967,Masculino,Administrador,40558,06/03/2022
CLI0375,PJ,Comércio Norte EIRELI,18834581920487,comercionort604@uol.com.br,+55 21 96575-8655,Vitória,ES,46036-158,20.05.2004,,Agronegócio,1763245,09-28-2023
CLI0166,PF,Leticia Xavier,096.790.422-71,leticiaxavie147@yahoo.com.br,,Salvador,BA,85564-472,10-10-1984,,,11987,2020-10-18
CLI0187,PF,Adriana Jardim,93059660186,@invalido,,Porto Alegre,RS,14850-467,06-03-1972,Masculino,Técnico,R$ 42340,11.06.2022
CLI0458,PF,Larissa Mendes,  964.535.917-65  ,larissamende469@gmail.com,(71) 91843-2392,Maceió,S.P,38166-917,23.01.1986,Masculino,Analista,40603,09/01/2025
CLI0473,PF,Monique Zanetti,02155383077,moniquezanet714@uol.com.br,(62) 99271-2059,Palmas,TO,98812-804,24.03.1950,Masculino,,R$ 33489,01-28-2021
CLI0453,PF,NATALIA TEIXEIRA,  820.130.716-75  ,nataliateixe712@outlook.com,41930555256,Teresina,PI,52225-895,01-19-1955,M,Técnico,21389,01/11/2023
CLI0190,PF,  Elaine Domingues  ,  327.021.648-71  ,elainedoming855@outlook.com,(81) 93205-4005,Cuiabá,MT,58480-790,1980-03-15,Feminino,,25262,04-02-2024
CLI0057,PF,Sandro Guerreiro,586.938.068-68,sandroguerre937@gmail.com,(85)911659440,Goiânia,GO,29613-251,17/04/1967,M,Enfermeiro,43105,14/02/2021
CLI0455,PF,Camila Gomes,973.670.721-73,camilagomes278@hotmail.com,+55 11 97026-1119,Campo Grande,MS,56011-818,1951-04-18,m,Enfermeiro,R$ 21017,07/01/2021
CLI0038,PJ,indústria sul sa,63.435.175/1830-46,indústriasul931@gmail.com,+55 41 94350-7498,Goiânia,GO,59894-577,23/01/2011,,Logística,4787977,01-11-2024
CLI0083,PJ,Rho Sistemas Ltda,82.744.857/0862-09,rhosistemasl565@hotmail.com,,Macapá,AP,27009-282,08-03-2013,,Tecnologia,R$ 4621094,07/04/2022
CLI0067,PF,Bruno Ribeiro,20438057198,brunoribeiro77@hotmail.com,+55 85 98020-5572,Curitiba,PR,,12-29-1982,f,Técnico,R$ 49507,15.09.2023
CLI0368,PF,Patricia Rocha,175.438.027-41,patriciaroch490@gmail.com,41983617061,Macapá,,26433-323,08.12.1976,M,Analista,2674,01.11.2024
CLI0308,PF,Adriana Jardim,545.967.150-06,adrianajardi562@hotmail.com,(31)962132081,Manaus,AM,79200-339,24/01/2003,Feminino,Médico,2985,31/10/2025
CLI0095,PF,Leticia Xavier,24932149587,leticiaxavie467@yahoo.com.br,(81)958781345,Porto Velho,RO,97186-438,11.11.1997,Feminino,Economista,10637,23.08.2023
CLI0328,PF,Henrique Oliveira,760.759.889-78,henriqueoliv290@uol.com.br,(51)966487529,Campinas,SP,50525-657,09/03/1961,Feminino,,3541,17.11.2024
CLI0171,PJ,Lambda Foods Ltda,64.825.311/0609-20,lambdafoodsl549@hotmail.com,(71) 95267-1847,Recife,PE,85937-987,19/03/2006,,Varejo,3104139,23/02/2025
CLI0341,PF,Gabriel Yazbek,  656.862.959-12  ,gabrielyazbe312@gmail.com,(62)951203973,São Luís,MA,56129-802,31.03.1962,f,Vendedor,33141,10.03.2023
CLI0357,PF,Renata Correia,907.499.216-40,renatacorrei171@hotmail.com,,São Paulo,SP,12702-118,09.07.1960,M,Analista,30291,2024-03-23
CLI0012,PJ,Pi Soluções SA,,pisolucõessa290@gmail.com,51934084236,Vitória,ES,17146-666,21/04/1992,,Varejo,4161752,01.06.2021
CLI0456,PF,CINTIA NOGUEIRA,994.147.539-89,cintianoguei248@outlook.com,+55 71 93838-3750,Cuiabá,MT,80419-492,29.11.1967,,Administrador,R$ 39873,21/10/2022
CLI0239,PF,MARIA OLIVEIRA,00615727682,mariaoliveir857@gmail.com,(61) 91645-9383,Curitiba,PR,23402-635,02-02-1983,Feminino,Analista,43214,20/08/2022
CLI0449,PJ,ETA LOGÍSTICA SA,07163485089512,etalogística818@yahoo.com.br,(61)955423511,Belo Horizonte,MG,88648-290,2012-06-22,,Tecnologia,1023830,03/08/2025
CLI0210,PF,rosana figueiredo,  728.727.601-53  ,rosanafiguei58@outlook.com,,Belo Horizonte,MG,89840-372,1958-11-13,M,Administrador,37045,2021-01-09
CLI0022,PJ,ZETA INDÚSTRIA ME,90147679764381,zetaindústri57@gmail.com,(41)911037490,,,33028-232,01-17-2004,,Logística,,07-31-2022
CLI0413,PF,RAFAEL SANTOS,411.420.667-01,rafaelsantos98@uol.com.br,21944363225,Fortaleza,CE,35223-333,1952-10-29,M,Técnico,45570,2024-01-29
CLI0242,PF,  Patricia Rocha  ,,,,João Pessoa,PB,66687-950,09-22-1952,F,,7642,17/12/2021
CLI0219,PJ,Tau Serviços SA,71.184.254/7681-82,tauservicoss616@hotmail.com,85981559021,Florianópolis,SC,,25.12.2007,,Educação,R$ 1961072,2022-07-15
CLI0011,PF,Leticia Xavier,931.491.905-86,leticiaxavie685@outlook.com,+55 81 94475-6813,Maceió,AL,88139-818,02-26-2003,f,Jornalista,R$ 20279,2020-02-11
CLI0032,PF,Eduardo Ferreira,165.585.239-86,eduardoferre427@uol.com.br,(11)988319168,Macapá,AP,92447-838,07-07-1995,Masculino,Arquiteto,33122,2024-04-06
CLI0423,PF,Cesar Cavalcanti,  803.789.121-39  ,cesarcavalca821@uol.com.br,71962144567,Fortaleza,CE,45830-480,01-22-1950,Masculino,Analista,5200,26/06/2020
CLI0388,PF,vinicius moreira,89629805682,viniciusmore494@uol.com.br,71916956478,Belo Horizonte,MG,19604-608,08-09-1950,Masculino,Administrador,9898,03/12/2023
CLI0309,PF,Vanessa Freitas,596.257.197-60,vanessafreit468@yahoo.com.br,31961686786,Salvador,BA,89764-829,14/04/2001,M,Engenheiro,25672,18.07.2021
CLI0335,PJ,Epsilon Serviços Ltda,99.945.295/1712-22,epsilonservi116@outlook.com,61935817805,Belém,PA,47997-401,26.02.2002,,Serviços,R$ 3911812,03-16-2020
CLI0496,PJ,Transportes Rápidos Ltda,60595634318073,transportesr481@outlook.com,(41)984787394,,AM,31087-959,1992-08-01,,Varejo,3003306,02-29-2024
CLI0412,PJ,Nu Transportes SA,78.621.078/1871-09,nutransporte668@gmail.com,,São Luís,MA,14356-154,06.11.1990,,Agronegócio,2873848,2020-08-10
CLI0431,PJ,Transportes Rápidos Ltda,,transportesr150@yahoo.com.br,+55 21 91014-2268,Salvador,BA,24381-586,1991-08-09,,Tecnologia,2448237,13/12/2025
CLI0251,PF,Simone Guimarães,410.346.996-73,simoneguimar173@outlook.com,(61)940990266,Porto Velho,RO,71566-124,09.10.1994,Feminino,Vendedor,R$ 26442,26/09/2022
CLI0214,PF,Claudio Queiroga,215.573.257-37,claudioqueir78@uol.com.br,(85)987030941,Cuiabá,MT,35020-869,23/03/1989,,Jornalista,37311,10-31-2024
CLI0204,PF,CRISTINA PINTO,  585.126.861-20  ,cristinapint652@gmail.com,(61) 91599-9704,Maceió,AL,28958-748,10.04.1980,Feminino,Médico,13713,01-30-2023
CLI0336,PF,Vinicius Moreira,596.851.953-77,viniciusmore670@yahoo.com.br,,Aracaju,SE,87517-425,,M,Engenheiro,R$ 24891,2024-07-05
CLI0023,PJ,Iota Consultoria ME,13696816453521,iotaconsulto157@gmail.com,,Manaus,,67961-746,,,Tecnologia,R$ 1338912,30/01/2023
CLI0481,PF,Cristina Pinto,  707.421.531-93  ,cristinapint5@outlook.com,(41)944053876,Aracaju,SE,31354,22.10.1970,M,Empresário,R$ 34996,11-29-2020
CLI0128,PF,Leandro Farias,666.785.072-08,leandrofaria909@uol.com.br,,Maceió,AL,53842-499,,Masculino,Administrador,42003,05-31-2021
CLI0068,PF,Sabrina Ramos,  985.158.328-18  ,sabrinaramos816@gmail.com,(85)978281335,Goiânia,GO,,15.01.1981,M,Técnico,17979,05/10/2025
CLI0078,PJ,,31438663227026,tecnologiaoe49@outlook.com,+55 31 98807-2577,Campo Grande,MS,57226-673,01.11.2015,,Educação,2748512,11-21-2022
CLI0092,PF,Diego Sampaio,  950.145.561-68  ,diegosampaio747@outlook.com,(31)913219453,João Pessoa,PB,25456-855,07/10/1975,F,Administrador,R$ 42844,25.08.2024
CLI0156,PF,felipe cardoso,972.832.152-85,felipecardos631@outlook.com,(61) 92755-1084,,S.P,74493-302,05-07-1977,m,Empresário,4321,2025-10-07
CLI0386,PJ,Indústria Sul SA,42986226992066,indústriasul931@uol.com.br,(31)963662562,Aracaju,SE,69105-725,13.04.2001,,Logística,1584118,11/11/2024
CLI0476,PF,CARLOS SOUZA,714.697.147-97,carlossouza37@outlook.com,+55 51 98085-3917,Salvador,BA,22827-507,,M,Contador,R$ 4047,01/10/2021
CLI0079,PF,Fábio Vieira,55877169472,fábiovieira964@gmail.com,(71) 92687-2565,Recife,PE,78679-883,08-01-1982,Masculino,Vendedor,R$ 14051,03-01-2021
CLI0520,PF,Cesar Cavalcanti,242.853.541-60,cesarcavalca231@outlook.com,+55 62 97214-8422,Belém,RRJ,97777-154,,m,Vendedor,49482,02/10/2020
CLI0297,PF,Denise Rezende,602.041.813-59,deniserezend905@yahoo.com.br,,Maceió,AL,13367-365,05-02-1956,M,Designer,37068,11.09.2024
CLI0119,PF,Priscila Macedo,13432756041,priscilamace256@uol.com.br,31970597948,Belo Horizonte,MG,52936-918,06-26-1966,M,,15112,11.12.2020
CLI0285,PJ,Epsilon Serviços Ltda,79720385934015,epsilonservi178@yahoo.com.br,(41)967210317,Salvador,BA,16002-116,1991-07-31,,Tecnologia,1001965,2022-12-24
CLI0006,PF,Eduardo Ferreira,12411824493,eduardoferre43@yahoo.com.br,(11)985146293,Fortaleza,CE,30257-342,01-14-1960,m,Designer,4361,26.12.2021
CLI0507,PF,Rodrigo Castro,91204637216,rodrigocastr355@gmail.com,(31)918642360,João Pessoa,PB,79167,05-26-1970,f,Economista,41429,2024-10-09
CLI0387,PF,Otavio Esteves,539.839.122-60,otavioesteve606@uol.com.br,+55 61 93218-5863,Natal,RN,95061-254,01-01-2030,F,Técnico,11981,2022-01-18
CLI0098,PJ,Kappa Ventures SA,87.653.269/0973-84,kappaventure708@gmail.com,(85) 95578-8617,João Pessoa,,92662-859,18.01.2011,,Construção Civil,4865984,11-15-2020
CLI0044,PF,Sabrina Ramos,45738757177,sabrinaramos399@gmail.com,+55 41 92667-9796,Maceió,AL,69972-216,05-04-1986,f,Enfermeiro,3913,06-27-2025
CLI0332,PF,Alexandre Cunha,334.742.463-10,nao informado,(85)966656565,Rio de Janeiro,RJ,,01-17-1958,M,Vendedor,R$ 6221,2021-10-15
CLI0268,PJ,pi soluções sa,55.782.019/0432-23,pisolucõessa33@gmail.com,(41)931349862,Recife,PE,32950,15/06/1997,,Serviços,2574639,17/09/2024
CLI0087,PJ,Kappa Ventures SA,24.051.477/0538-33,kappaventure62@yahoo.com.br,+55 62 91136-2091,Teresina,RRJ,96520-468,06-20-1994,,Varejo,254254,03-19-2020
CLI0184,PF,Murilo Queiroz,  661.912.841-17  ,muriloqueiro343@gmail.com,(85) 96400-2021,,,19275-526,31/01/1955,Masculino,Técnico,R$ 19239,26.11.2020
CLI0137,PF,Leandro Farias,08920388065,leandrofaria976@yahoo.com.br,(71) 94363-7558,Natal,RN,82704-217,10-14-1953,F,Enfermeiro,R$ 17091,2024-12-08
CLI0499,PF,Ligia Bernardes,224.824.886-31,ligiabernard895@uol.com.br,(21)950771829,Palmas,TO,82379-785,26.11.1960,F,Técnico,R$ 27115,31/03/2023
CLI0442,PF,PATRICIA ROCHA,  688.658.348-34  ,patriciaroch625@uol.com.br,,São Luís,MA,50055-426,1997-01-21,f,Designer,17971,19/01/2024
CLI0134,PF,,  956.201.753-70  ,nao informado,21986491124,Macapá,AP,13030-809,14.07.1985,,Empresário,38161,01.11.2022
CLI0484,PF,Jorge Oliveira,909.846.856-06,sem email,(11)984343016,Maceió,AL,,10.08.1983,f,Professor,R$ 28625,11-18-2021
CLI0439,PF,Camila Gomes,167.671.877-62,camilagomes405@yahoo.com.br,(85) 99810-1011,Campinas,SP,,09.01.1989,M,,47825,2025-03-19
CLI0519,PJ,Epsilon Serviços Ltda,98.897.284/2680-92,epsilonservi887@outlook.com,(85) 97950-1545,São Paulo,SP,19734-806,1996-06-22,,Transporte,3268001,02.07.2024
CLI0111,PF,Viviane Hardt,  158.904.290-25  ,vivianehardt594@yahoo.com.br,+55 11 97111-8944,Guarulhos,SP,31368-204,1964-12-29,F,Jornalista,21731,2025-08-23
CLI0227,PF,Rafael Santos,35237360507,rafaelsantos806@yahoo.com.br,11935243522,Campinas,SP,49707,03-31-1988,F,,8836,2024-04-25
CLI0200,PF,Ana Lima,579.197.111-21,analima95@outlook.com,(61)988547299,Porto Velho,RO,84542-315,08-07-1962,Masculino,Jornalista,R$ 15056,11-12-2024
CLI0324,PF,Diego Sampaio,781.055.800-02,diegosampaio388@uol.com.br,(31)987257533,Manaus,AM,55084-230,1969-07-10,F,Enfermeiro,34399,2023-12-13
CLI0372,PF,MURILO QUEIROZ,  284.539.749-95  ,muriloqueiro287@yahoo.com.br,11931055735,Recife,PE,31990-350,30/05/1965,F,,26340,2020-06-15
CLI0132,PF,Alessandra Nunes,12462095200,alessandranu987@uol.com.br,41986268638,São Paulo,SP,,1974-02-28,m,,R$ 3894,2021-11-19
CLI0364,PJ,Transportes Rápidos Ltda,78.550.113/7535-82,transportesr614@gmail.com,(81) 92834-7807,Fortaleza,CE,71601-954,,,Varejo,R$ 3821526,10.04.2022
CLI0319,PF,Leticia Xavier,353.028.165-06,leticiaxavie623@gmail.com,,,PA,60737-501,21/01/1952,M,Engenheiro,R$ 46943,2020-11-28
CLI0089,PF,fábio vieira,18812520566,sem email,(51)933767033,Natal,RN,74217-804,1992-10-04,M,Vendedor,26507,2025-02-17
CLI0174,PJ,BETA SOLUÇÕES LTDA,17295963904090,betasolucões98@outlook.com,(51) 96196-6665,Cuiabá,--,69582-605,25.06.2004,,,R$ 4575045,05-12-2021
CLI0082,PF,João Silva,  645.208.814-74  ,joaosilva62@yahoo.com.br,+55 85 94812-6189,,ES,67503-850,1963-11-27,f,Advogado,46954,03-27-2024
CLI0367,PJ,construtora central sa,23.959.781/5542-60,construtorac379@yahoo.com.br,,Florianópolis,SC,36682-162,24.04.2000,,,2579972,14/03/2025
CLI0107,PF,Vinicius Moreira,832.538.179-33,viniciusmore920@hotmail.com,21947036407,Belo Horizonte,,64596,11/01/1983,Masculino,Economista,6300,2026-01-26
CLI0351,PJ,Gamma Tecnologia ME,34281644161019,gammatecnolo39@hotmail.com,85975822380,Guarulhos,SP,37332-532,24.04.2000,,Serviços,2613336,16/09/2025
CLI0007,PF,Jorge Oliveira,21607337543,jorgeoliveir591@hotmail.com,(71) 91027-9518,Salvador,BA,53279-738,01/01/2030,M,Contador,22557,05-25-2021
CLI0486,PJ,Lambda Foods Ltda,,lambdafoodsl821@hotmail.com,(62)999460547,Porto Velho,RO,35519,03.01.2004,,Saúde,4456997,18/01/2022
CLI0362,PF,fernanda martins,903.500.618-48,fernandamart676@yahoo.com.br,(21) 93027-2656,São Paulo,SP,97646,1988-10-30,Feminino,Economista,25390,2024-10-23
CLI0282,PF,Leticia Xavier,587.146.921-82,leticiaxavie679@uol.com.br,+55 62 93129-5884,Porto Velho,RO,89918-624,14.06.1951,Masculino,,23684,27/09/2020
CLI0488,PF,DIEGO SAMPAIO,671.485.819-70,diegosampaio590@hotmail.com,+55 62 92689-6630,São Paulo,SP,26369-179,19/11/1963,F,Advogado,48204,14.05.2022
